Sample ID,H₂,CH₄,C₂H₆,C₂H₄,C₂H₂,CO,CO₂,State,State Name
376,19.21,14.5,15.84,60.61,1.66,618.83,5710.8,1,Good
377,32.68,13.07,12.15,49.13,2.82,580.06,5239.18,1,Good
378,42.84,20.39,20.36,51.44,2.13,501.89,5575.46,1,Good
379,60.62,13.03,8.75,42.43,2.46,544.75,4909.29,1,Good
380,24.52,14.77,14.63,39.56,1.48,435.81,6911.55,1,Good
381,29.16,26.74,12.45,76.83,1.25,608.91,5451.57,1,Good
382,33.93,10.81,9.08,19.2,1.75,501.03,4839.16,1,Good
383,46.96,23.39,21.22,56.83,2.18,635.53,5310.46,1,Good
384,29.3,14.71,8.7,53.5,2.92,470.67,4350.33,1,Good
385,30.07,6.77,8.1,38.46,2.52,344.13,5940.91,1,Good
386,34.48,21.66,13.56,46.57,2.28,448.25,3719.11,1,Good
387,22.33,7.06,12.55,65.16,2.17,598.04,5745.82,1,Good
388,19.24,12.97,16.98,44.21,0.0,527.84,3514.29,1,Good
389,23.32,16.76,18.18,45.92,1.88,560.01,6510.2,1,Good
390,43.44,6.31,4.21,50.61,3.16,418.42,5772.79,1,Good
391,44.77,17.14,22.08,50.3,1.46,554.44,5378.22,1,Good
392,46.52,24.28,14.08,57.19,2.27,561.48,4128.7,1,Good
393,23.31,8.16,9.64,19.46,2.16,476.07,5172.93,1,Good
394,19.78,20.13,15.66,44.53,1.37,630.27,5514.57,1,Good
395,70.81,13.69,7.07,39.79,3.47,465.65,4976.68,1,Good
396,66.86,24.72,27.94,51.48,1.34,534.21,5444.87,1,Good
397,27.74,3.07,6.06,22.52,1.51,534.57,4815.46,1,Good
398,28.0,11.9,14.08,50.03,2.44,320.69,5704.83,1,Good
399,33.75,38.98,28.67,77.46,1.98,496.86,4900.81,1,Good
400,57.79,26.6,23.39,43.01,2.18,523.09,5697.52,1,Good
401,5.16,3.38,0.0,36.82,7.95,453.28,4597.62,2,Fair
402,92.13,44.94,32.31,124.18,10.87,683.23,9980.42,2,Fair
403,50.44,41.87,47.66,50.37,4.4,708.54,7886.06,2,Fair
404,91.8,52.87,38.95,75.52,8.79,583.91,6778.27,2,Fair
405,98.64,76.9,38.05,94.73,5.0,1054.04,9611.23,2,Fair
406,116.78,73.09,29.59,150.42,11.16,566.75,5991.1,2,Fair
407,51.05,34.92,31.75,67.78,6.51,558.55,6571.19,2,Fair
408,67.78,47.21,51.45,155.89,6.85,990.02,9807.05,2,Fair
409,85.38,52.93,56.12,66.35,6.39,374.85,7289.53,2,Fair
410,88.55,39.45,54.51,79.91,6.75,746.48,10327.15,2,Fair
411,32.82,56.17,64.21,124.66,4.17,997.6,11343.96,2,Fair
412,101.16,56.1,27.41,126.0,8.9,325.04,4069.21,2,Fair
413,44.81,45.94,33.03,80.6,6.86,342.5,5858.69,2,Fair
414,118.79,59.56,38.4,123.03,8.99,487.87,4043.04,2,Fair
415,56.56,71.05,60.48,196.09,9.14,666.58,9348.55,2,Fair
416,119.31,68.8,50.54,135.93,8.13,581.8,6253.43,2,Fair
417,95.45,28.26,24.45,132.47,9.26,658.24,7379.6,2,Fair
418,75.12,73.51,75.76,167.4,5.81,571.39,6306.47,2,Fair
419,49.2,6.1,20.37,34.33,11.57,765.06,5468.13,2,Fair
420,157.37,47.59,27.7,126.93,9.5,823.53,8182.02,2,Fair
421,91.87,30.07,17.44,60.38,7.38,690.02,8311.63,2,Fair
422,24.92,19.12,24.36,92.87,1.58,1009.26,8025.27,2,Fair
423,74.37,55.1,40.31,187.84,9.34,661.69,5405.56,2,Fair
424,97.93,57.49,41.14,72.38,8.09,873.11,8046.37,2,Fair
425,136.73,86.84,63.97,110.13,10.71,441.41,3996.02,2,Fair
426,63.98,37.63,41.17,110.89,1.72,610.42,6363.44,2,Fair
427,141.68,65.16,53.8,82.78,11.25,833.29,8952.3,2,Fair
428,126.62,46.95,28.86,116.24,3.69,410.42,8161.71,2,Fair
429,148.15,84.48,47.73,167.57,9.63,861.57,8957.26,2,Fair
430,102.3,34.44,22.92,66.65,5.37,755.84,7172.56,2,Fair
431,137.19,64.76,63.77,134.07,10.3,438.97,8262.11,2,Fair
432,102.72,55.52,44.35,95.51,8.23,602.38,13382.48,2,Fair
433,61.11,29.94,45.82,76.03,5.59,893.75,9804.97,2,Fair
434,106.36,23.68,23.16,88.71,8.08,698.81,6219.87,2,Fair
435,111.35,40.89,23.77,84.4,11.04,670.21,7216.3,2,Fair
436,97.33,99.15,53.92,146.8,9.26,384.51,3591.06,2,Fair
437,126.62,50.4,55.81,86.82,6.47,506.63,3904.2,2,Fair
438,73.93,28.86,15.77,83.18,5.28,166.54,2973.23,2,Fair
439,122.48,60.25,28.15,156.9,5.98,481.46,7517.86,2,Fair
440,98.16,61.34,46.29,116.68,5.04,523.71,5905.64,2,Fair
441,94.08,35.81,30.17,73.39,3.71,552.02,4828.35,2,Fair
442,113.57,51.54,27.96,76.21,8.03,424.41,3123.16,2,Fair
443,86.23,35.74,43.22,143.14,6.65,716.56,10737.03,2,Fair
444,13.47,41.77,21.63,95.25,3.48,572.72,6317.54,2,Fair
445,134.02,71.16,66.81,192.03,9.28,608.37,7323.4,2,Fair
446,93.43,47.1,49.62,48.13,8.23,259.31,2317.55,2,Fair
447,109.35,38.02,27.78,63.62,4.11,887.29,6582.02,2,Fair
448,58.77,54.1,34.15,160.39,5.14,662.65,5083.52,2,Fair
449,125.57,20.15,34.48,101.63,11.78,682.82,7717.46,2,Fair
450,87.07,44.04,32.04,86.02,7.65,807.56,4228.17,2,Fair
451,172.19,65.28,35.15,118.93,11.14,509.86,5740.64,2,Fair
452,95.06,80.57,54.28,156.43,9.11,748.78,10730.48,2,Fair
453,93.99,48.68,41.8,49.35,5.41,591.1,5635.49,2,Fair
454,64.15,50.45,50.89,137.61,5.4,810.81,4616.4,2,Fair
455,68.74,53.34,39.44,95.12,4.82,383.51,4280.92,2,Fair
456,81.97,54.07,61.71,130.48,4.79,540.27,4837.05,2,Fair
457,88.79,51.65,19.5,87.17,5.88,759.42,7903.75,2,Fair
458,104.94,44.94,32.47,124.3,5.61,654.87,5816.44,2,Fair
459,90.39,22.29,30.66,41.11,7.1,374.21,5838.04,2,Fair
460,180.31,45.5,46.14,102.18,6.64,376.42,5863.78,2,Fair
461,104.29,61.86,32.6,114.08,9.84,669.7,8694.95,2,Fair
462,81.87,45.21,48.73,73.96,7.02,447.47,12362.02,2,Fair
463,86.29,41.05,29.66,111.06,5.52,231.24,2909.07,2,Fair
464,72.27,33.71,35.98,119.36,6.19,339.05,2136.59,2,Fair
465,89.27,23.31,18.75,41.08,6.42,533.27,8586.47,2,Fair
466,70.2,44.31,44.01,162.55,5.76,450.01,8101.59,2,Fair
467,40.12,13.99,0.0,47.43,3.59,286.57,2407.04,2,Fair
468,79.8,40.83,22.49,107.0,9.61,626.42,6431.38,2,Fair
469,110.39,78.35,65.1,210.0,9.13,981.25,10727.34,2,Fair
470,116.69,58.3,41.18,122.89,12.16,475.16,5253.44,2,Fair
471,177.75,81.45,72.19,156.83,10.46,734.97,5600.87,2,Fair
472,53.23,25.69,31.12,64.8,3.14,830.39,5283.32,2,Fair
473,77.55,32.78,42.3,62.7,11.16,363.67,3092.31,2,Fair
474,114.97,77.72,36.73,128.23,6.1,441.07,4694.99,2,Fair
475,140.37,71.57,58.84,164.59,9.63,489.53,4409.55,2,Fair
476,115.19,83.27,40.98,121.61,6.12,516.53,7660.55,2,Fair
477,91.57,42.21,24.54,52.41,0.48,584.7,7300.63,2,Fair
478,136.29,57.19,72.98,231.67,13.02,560.98,10313.96,2,Fair
479,84.24,78.11,37.09,182.18,8.83,958.81,11881.22,2,Fair
480,116.08,61.77,34.95,124.75,8.61,667.15,7306.5,2,Fair
481,122.55,64.33,22.33,104.2,7.37,727.5,7575.4,2,Fair
482,52.78,50.42,61.38,118.71,3.57,546.43,5489.09,2,Fair
483,60.58,34.32,16.53,36.32,5.91,360.31,5132.23,2,Fair
484,61.03,59.42,14.52,74.5,5.44,726.38,7125.37,2,Fair
485,76.96,30.56,19.58,95.38,8.72,742.15,8630.64,2,Fair
486,62.41,48.31,47.32,136.12,3.84,386.63,6935.09,2,Fair
487,114.05,62.77,29.72,114.08,5.06,750.45,8152.49,2,Fair
488,76.66,72.22,78.6,111.63,6.62,759.8,9827.75,2,Fair
489,21.33,40.66,46.54,52.63,4.32,718.02,10552.95,2,Fair
490,88.88,41.75,55.13,138.03,8.48,588.81,7110.34,2,Fair
491,110.33,55.63,49.24,97.94,6.62,591.72,6360.04,2,Fair
492,70.46,35.63,36.24,69.92,5.51,463.34,5120.46,2,Fair
493,101.1,83.24,51.9,169.37,3.85,974.44,7398.73,2,Fair
494,95.53,82.14,57.01,198.25,9.2,300.43,3754.19,2,Fair
495,142.81,93.72,54.98,157.68,11.26,536.41,5668.26,2,Fair
496,131.38,48.64,39.88,144.22,13.13,701.48,5031.34,2,Fair
497,55.48,16.51,24.41,74.07,6.17,379.69,6522.39,2,Fair
498,115.87,80.95,37.34,109.67,6.16,472.96,6116.02,2,Fair
499,70.49,53.99,65.76,105.12,5.85,846.45,7702.01,2,Fair
500,104.03,25.44,38.0,147.36,10.3,402.43,2881.2,2,Fair
501,91.75,64.81,37.41,90.95,6.4,864.45,9809.51,2,Fair
502,42.14,10.85,1.56,2.02,0.98,251.55,8251.8,2,Fair
503,72.39,28.18,30.73,66.67,5.03,444.0,6433.09,2,Fair
504,60.84,57.66,31.43,114.37,7.09,597.87,5674.13,2,Fair
505,95.42,74.84,55.03,65.83,8.79,535.77,12732.0,2,Fair
506,114.74,43.56,41.46,100.62,10.48,570.78,4913.26,2,Fair
507,93.43,37.4,54.81,47.59,8.62,488.81,9348.31,2,Fair
508,79.51,33.4,41.15,90.9,8.01,364.3,10736.93,2,Fair
509,48.42,71.96,67.59,165.48,7.81,341.94,4426.23,2,Fair
510,87.44,45.08,40.31,119.72,1.91,615.81,7580.45,2,Fair
511,174.32,96.01,75.79,102.89,8.51,611.12,7694.82,2,Fair
512,53.38,30.86,37.83,55.25,6.44,1012.83,12473.43,2,Fair
513,94.77,53.23,36.56,113.42,2.84,590.72,7063.4,2,Fair
514,87.88,61.64,30.85,88.06,7.58,818.39,5290.62,2,Fair
515,60.38,37.16,38.2,68.64,4.99,518.38,9598.03,2,Fair
516,76.84,54.17,31.57,70.98,6.16,1098.81,10309.26,2,Fair
517,28.08,20.29,50.74,60.06,8.47,479.16,5475.84,2,Fair
518,114.0,46.01,42.25,77.08,7.09,656.11,7392.81,2,Fair
519,129.01,74.34,47.34,156.08,8.77,804.87,8421.94,2,Fair
520,48.21,23.97,35.11,41.62,3.29,840.21,8646.25,2,Fair
521,120.29,29.15,18.81,24.98,9.96,483.28,11307.05,2,Fair
522,122.04,67.54,55.14,104.35,8.09,466.63,7042.49,2,Fair
523,52.82,56.3,32.56,168.29,6.38,1066.37,10584.51,2,Fair
524,72.98,63.98,31.55,177.28,9.92,252.12,4631.37,2,Fair
525,101.95,65.57,46.06,71.39,5.87,749.54,15056.1,2,Fair
526,84.75,21.85,10.48,72.24,6.04,1007.39,10050.21,2,Fair
527,29.25,31.02,22.26,132.83,3.15,489.55,6664.85,2,Fair
528,109.45,95.24,62.94,161.45,4.63,767.5,9427.4,2,Fair
529,20.83,25.08,14.69,19.03,4.49,352.84,5092.16,2,Fair
530,122.41,58.9,46.22,86.73,7.44,735.67,8449.95,2,Fair
531,92.74,41.66,28.58,115.41,5.1,478.3,5517.76,2,Fair
532,144.36,103.84,53.38,77.22,6.0,654.27,4566.27,2,Fair
533,66.48,22.92,12.77,55.1,8.02,552.49,5797.31,2,Fair
534,71.33,55.02,32.78,32.6,7.66,648.27,10569.69,2,Fair
535,94.65,17.53,14.35,76.32,6.45,611.11,8809.51,2,Fair
536,132.27,66.58,33.35,151.67,9.56,481.72,3981.3,2,Fair
537,104.37,82.27,48.44,157.3,5.84,611.22,11613.61,2,Fair
538,155.25,88.19,57.83,114.17,7.55,1216.6,12209.2,2,Fair
539,204.13,90.39,43.68,102.83,9.33,496.13,8499.13,2,Fair
540,126.73,64.63,57.09,93.75,5.97,408.16,4108.36,2,Fair
541,150.41,65.01,47.84,110.58,6.43,725.84,7462.91,2,Fair
542,124.6,47.01,50.43,126.8,7.32,917.28,10150.73,2,Fair
543,89.68,53.95,31.22,153.59,10.54,632.26,8095.89,2,Fair
544,97.44,64.66,45.84,131.71,5.37,599.79,8334.84,2,Fair
545,158.81,58.68,37.51,126.76,9.96,736.68,7325.59,2,Fair
546,77.7,38.64,41.67,123.09,4.59,635.01,4910.32,2,Fair
547,116.58,71.13,55.25,110.91,8.69,498.7,5057.91,2,Fair
548,140.71,28.97,25.62,30.41,4.32,101.34,2392.79,2,Fair
549,40.08,32.14,27.03,7.23,5.15,618.2,7876.17,2,Fair
550,50.66,25.69,34.06,94.55,11.68,568.13,10371.66,2,Fair
551,143.55,78.78,64.18,112.44,8.4,636.2,8998.31,2,Fair
552,95.05,67.79,61.48,87.76,7.62,461.77,5556.83,2,Fair
553,36.5,45.78,43.65,124.2,7.77,493.7,7774.94,2,Fair
554,126.23,67.34,31.03,114.2,8.11,554.61,5863.13,2,Fair
555,28.47,29.47,39.95,62.65,2.91,555.55,4635.99,2,Fair
556,93.95,53.16,43.98,66.99,3.9,686.01,7559.59,2,Fair
557,130.98,76.49,41.64,101.14,6.1,836.65,11001.57,2,Fair
558,99.93,44.43,52.26,60.13,8.35,715.08,5319.11,2,Fair
559,76.11,26.53,29.27,97.94,8.74,714.15,4397.08,2,Fair
560,95.02,37.81,46.24,136.46,9.89,466.26,4558.8,2,Fair
561,73.18,56.16,38.75,101.58,7.56,340.9,5538.45,2,Fair
562,54.87,35.94,36.64,115.74,7.44,433.47,3499.73,2,Fair
563,60.95,83.62,74.3,125.71,7.77,508.75,4405.38,2,Fair
564,82.19,24.65,24.04,67.49,5.97,620.7,8151.04,2,Fair
565,123.48,43.39,64.28,112.28,7.34,1033.07,5485.1,2,Fair
566,157.9,44.96,37.31,91.51,7.83,379.4,9365.21,2,Fair
567,132.43,32.82,31.8,135.79,11.76,448.69,3702.14,2,Fair
568,70.3,37.78,30.85,84.33,7.0,394.07,6151.22,2,Fair
569,109.12,66.46,37.89,105.42,7.49,650.75,10974.6,2,Fair
570,89.34,47.05,41.67,127.11,8.17,962.99,9297.52,2,Fair
571,55.11,36.55,54.71,107.78,4.64,651.49,8104.21,2,Fair
572,68.68,38.08,50.69,46.86,5.28,999.5,6832.57,2,Fair
573,97.11,79.67,67.55,166.57,4.96,141.91,159.85,2,Fair
574,85.33,40.43,50.64,111.11,4.63,660.0,6994.71,2,Fair
575,100.59,52.3,42.3,81.96,11.71,401.32,5086.38,2,Fair
576,89.97,58.02,47.04,63.54,7.76,728.87,7095.88,2,Fair
577,121.61,32.74,41.11,128.15,4.63,527.31,9717.25,2,Fair
578,71.43,28.54,36.13,67.65,2.59,614.52,6927.31,2,Fair
579,71.65,60.64,45.67,93.7,7.64,827.95,10463.51,2,Fair
580,157.59,91.03,37.41,110.77,7.53,530.79,8049.3,2,Fair
581,122.1,50.25,39.31,90.67,6.92,509.06,4902.88,2,Fair
582,77.27,29.01,48.2,172.32,8.99,812.07,7907.51,2,Fair
583,108.64,109.93,65.33,210.83,7.4,463.06,5372.98,2,Fair
584,12.11,1.22,16.59,60.23,6.33,363.2,1869.46,2,Fair
585,65.79,37.65,26.74,45.37,6.33,276.43,3617.22,2,Fair
586,105.53,53.07,42.62,110.35,6.19,569.03,5858.51,2,Fair
587,68.13,38.54,48.97,92.06,3.41,769.43,10210.4,2,Fair
588,87.61,58.91,70.73,112.13,7.23,313.31,5659.2,2,Fair
589,69.9,38.55,21.68,108.67,3.59,599.02,8881.51,2,Fair
590,57.18,60.68,48.98,48.38,3.19,674.46,8247.94,2,Fair
591,84.11,34.87,24.68,97.31,10.85,1194.65,10996.1,2,Fair
592,95.05,34.65,49.1,46.66,4.98,712.22,4601.71,2,Fair
593,68.0,27.26,37.3,42.33,1.72,563.57,3305.99,2,Fair
594,90.17,71.53,37.48,96.51,5.81,690.93,4583.81,2,Fair
595,20.05,33.68,26.14,82.37,8.63,577.76,5084.77,2,Fair
596,37.71,28.25,38.53,66.9,6.45,368.56,8397.97,2,Fair
597,94.05,40.79,24.2,102.25,15.59,669.51,8645.95,2,Fair
598,83.38,30.33,39.55,57.16,9.44,621.03,6888.28,2,Fair
599,38.81,21.89,13.6,49.46,4.88,212.89,4128.99,2,Fair
600,84.69,32.62,21.15,89.18,8.69,660.76,5087.28,2,Fair
601,507.11,295.31,685.7,537.17,179.66,1428.94,30549.67,3,Poor
602,495.94,241.05,415.73,343.27,195.92,1159.27,32182.63,3,Poor
603,445.65,274.16,610.43,457.93,234.11,825.25,26963.53,3,Poor
604,337.56,182.71,249.58,401.08,249.62,1171.27,17829.33,3,Poor
605,349.03,223.62,717.82,451.85,163.18,1819.82,31925.85,3,Poor
606,397.88,251.07,392.1,302.64,236.04,1231.91,16439.64,3,Poor
607,294.09,183.59,488.74,392.35,251.31,1235.3,31453.96,3,Poor
608,444.65,286.29,277.73,379.28,190.09,979.48,29332.34,3,Poor
609,631.57,188.32,505.37,720.94,341.78,1448.81,42640.33,3,Poor
610,297.75,198.43,368.98,314.27,159.86,1177.22,25317.32,3,Poor
611,310.42,270.36,407.41,288.2,173.11,1770.19,22654.69,3,Poor
612,386.23,232.83,506.8,521.26,215.03,1558.42,19299.45,3,Poor
613,503.48,159.53,574.52,414.9,163.02,943.2,13090.36,3,Poor
614,418.94,229.9,547.85,519.31,263.17,1963.86,23323.83,3,Poor
615,507.67,355.76,349.08,435.76,265.43,1285.86,22440.47,3,Poor
616,491.01,191.86,390.44,414.19,175.69,1515.24,25914.45,3,Poor
617,336.86,183.02,255.71,373.94,283.64,1135.04,32143.96,3,Poor
618,346.34,188.75,346.63,441.08,252.09,1480.82,22128.25,3,Poor
619,577.69,272.59,689.1,756.61,230.83,790.49,28051.02,3,Poor
620,528.89,183.52,299.23,358.96,272.37,1059.48,31465.75,3,Poor
621,596.37,166.84,568.6,574.8,263.34,1709.71,30832.95,3,Poor
622,214.16,225.64,273.63,219.64,237.41,1449.83,38071.69,3,Poor
623,543.9,173.37,455.66,517.88,151.16,1319.38,17427.03,3,Poor
624,380.85,277.06,505.37,367.35,145.56,1577.84,27002.25,3,Poor
625,416.76,207.7,520.38,209.62,239.21,1686.03,28457.47,3,Poor
626,613.72,184.9,300.75,469.26,226.2,1495.64,30930.87,3,Poor
627,370.73,204.55,689.93,384.7,233.08,1517.18,25391.05,3,Poor
628,392.93,128.41,332.61,395.02,220.65,1740.77,25868.1,3,Poor
629,309.65,245.79,489.2,605.31,259.79,1125.03,17568.09,3,Poor
630,342.89,222.76,581.86,618.11,233.05,1409.47,26747.81,3,Poor
631,557.17,189.65,334.46,424.75,232.96,1351.63,27694.73,3,Poor
632,512.6,108.72,244.21,409.74,214.89,1135.78,17223.35,3,Poor
633,495.41,209.91,231.35,314.84,231.3,796.99,21773.59,3,Poor
634,448.77,262.32,418.74,573.54,213.55,1091.63,24330.75,3,Poor
635,283.29,179.49,505.66,443.0,239.04,1218.16,28167.42,3,Poor
636,399.9,223.18,375.64,311.88,254.24,1851.22,36958.63,3,Poor
637,444.97,214.11,436.25,551.96,228.73,1316.01,32398.52,3,Poor
638,532.76,217.52,423.36,656.25,317.04,1622.6,29572.81,3,Poor
639,649.01,200.22,466.05,450.75,283.29,1504.81,27614.79,3,Poor
640,451.42,349.24,448.59,551.16,274.85,1441.81,35597.8,3,Poor
641,458.61,235.26,753.38,592.2,197.69,1639.0,26797.94,3,Poor
642,527.14,186.15,397.48,338.74,163.17,1549.79,27532.52,3,Poor
643,492.42,242.86,357.47,474.88,183.21,1450.56,34285.03,3,Poor
644,399.32,254.84,629.87,538.63,146.08,929.65,18853.66,3,Poor
645,269.63,242.07,324.33,388.96,193.16,1626.11,30584.04,3,Poor
646,392.21,271.23,562.69,597.51,228.78,1855.78,25540.72,3,Poor
647,445.15,267.9,492.08,618.05,403.51,1047.09,18740.51,3,Poor
648,372.69,196.33,616.17,362.74,117.76,1306.47,35114.34,3,Poor
649,306.2,279.98,444.18,402.02,377.76,1497.45,23745.76,3,Poor
650,563.12,197.35,454.84,516.4,275.07,1489.65,28629.59,3,Poor
651,395.16,249.38,438.1,639.78,235.47,1159.84,27140.55,3,Poor
652,434.73,246.25,562.28,819.53,271.84,1444.45,40579.45,3,Poor
653,330.33,204.11,316.29,532.06,312.17,1108.19,35699.72,3,Poor
654,531.56,272.34,531.44,243.37,308.31,1383.49,24788.24,3,Poor
655,420.9,214.5,486.08,527.86,134.03,813.08,13297.32,3,Poor
656,373.76,211.33,564.69,340.34,136.8,903.39,20883.04,3,Poor
657,304.07,256.6,602.12,468.71,345.3,1198.04,34737.64,3,Poor
658,366.36,118.17,384.64,303.96,263.69,1070.54,21887.22,3,Poor
659,310.83,175.1,528.89,514.51,293.01,1422.32,29425.1,3,Poor
660,281.74,133.78,328.65,360.91,246.08,1347.23,19798.54,3,Poor
661,187.43,183.48,419.18,273.32,165.68,1203.06,28159.96,3,Poor
662,365.57,144.57,452.04,347.83,141.5,1745.71,33803.22,3,Poor
663,523.59,206.57,492.84,615.48,209.26,1257.38,26232.29,3,Poor
664,311.35,211.01,303.81,476.25,186.58,1163.73,41217.23,3,Poor
665,256.7,170.72,246.07,479.88,178.96,1242.42,25222.88,3,Poor
666,431.68,281.06,341.93,565.11,294.67,1314.29,37063.96,3,Poor
667,386.04,255.24,303.02,489.77,153.42,1040.04,12804.57,3,Poor
668,404.47,235.71,533.35,494.61,269.47,1263.39,26209.83,3,Poor
669,538.37,199.27,358.58,419.9,175.22,1573.63,34641.91,3,Poor
670,275.44,194.17,280.02,549.38,308.61,1729.96,24709.32,3,Poor
671,370.29,191.65,484.25,368.18,142.41,1425.91,27080.11,3,Poor
672,377.87,208.49,569.5,541.37,246.11,1550.43,32438.03,3,Poor
673,492.49,244.58,437.24,320.1,277.04,1491.87,34612.56,3,Poor
674,423.82,156.5,357.29,338.53,233.57,1788.3,25305.4,3,Poor
675,440.61,201.51,358.74,622.67,206.55,1420.91,24208.93,3,Poor
676,304.89,259.39,367.91,252.76,178.36,1518.02,27691.41,3,Poor
677,319.69,123.76,237.66,197.5,210.22,1295.68,30732.86,3,Poor
678,350.31,201.05,564.16,559.71,163.63,1613.25,44440.69,3,Poor
679,419.83,216.35,376.64,321.02,85.91,949.1,32061.73,3,Poor
680,233.85,162.42,377.46,523.68,154.51,865.61,28446.03,3,Poor
681,286.17,219.29,539.89,253.49,219.39,1038.86,19719.38,3,Poor
682,491.67,328.55,651.17,596.78,259.02,1572.04,32347.46,3,Poor
683,393.36,154.94,361.12,344.4,168.76,1163.38,22535.66,3,Poor
684,354.44,308.37,464.36,323.42,194.9,1055.62,26188.36,3,Poor
685,421.09,153.14,197.44,336.11,115.92,2026.72,33706.96,3,Poor
686,481.02,295.66,755.52,451.12,268.4,1336.68,16394.87,3,Poor
687,369.6,171.49,454.86,601.96,374.21,1176.44,21787.55,3,Poor
688,424.65,177.1,353.07,339.04,349.48,1523.76,32555.94,3,Poor
689,514.1,227.64,318.05,599.8,256.52,1566.31,23922.93,3,Poor
690,452.48,243.72,613.6,561.93,206.87,1430.99,18017.32,3,Poor
691,352.63,140.06,514.14,602.67,199.08,1924.4,46986.79,3,Poor
692,509.74,281.24,529.06,350.42,268.06,1478.19,38566.44,3,Poor
693,414.47,227.51,417.47,533.72,300.96,1325.01,34919.62,3,Poor
694,475.14,223.77,383.51,477.25,213.82,1592.12,37417.83,3,Poor
695,482.06,269.37,462.56,401.07,315.8,1139.82,26634.04,3,Poor
696,294.79,227.16,294.01,372.85,121.2,1177.64,22749.88,3,Poor
697,528.02,242.26,857.82,367.66,275.9,1652.0,24979.25,3,Poor
698,500.4,345.55,482.59,511.45,246.78,1516.88,36488.52,3,Poor
699,442.11,245.77,282.78,380.3,196.99,1583.18,45878.36,3,Poor
700,224.2,116.52,446.98,250.47,76.21,1200.27,34952.17,3,Poor
701,658.41,264.84,676.98,560.54,319.27,1404.6,19408.17,3,Poor
702,313.74,253.93,554.93,317.07,102.97,1537.6,32208.28,3,Poor
703,332.52,264.02,610.8,586.31,224.07,1289.49,26092.38,3,Poor
704,442.26,193.6,285.03,566.06,227.67,1091.53,19238.09,3,Poor
705,571.18,216.96,622.93,424.62,218.61,1120.1,17052.13,3,Poor
706,276.5,143.45,287.62,405.67,203.72,1140.52,32506.39,3,Poor
707,357.11,224.55,596.54,245.18,141.45,1316.77,18545.14,3,Poor
708,390.54,278.5,549.07,406.31,186.08,1180.66,31019.26,3,Poor
709,464.49,233.39,603.77,698.74,289.32,1053.09,26986.67,3,Poor
710,477.85,233.78,651.26,343.7,227.66,1197.75,19693.27,3,Poor
711,368.4,107.71,317.95,343.17,173.88,1393.09,28750.79,3,Poor
712,481.58,257.72,546.39,421.19,149.29,1581.33,32450.32,3,Poor
713,554.97,201.78,521.21,473.12,224.16,1430.5,29408.29,3,Poor
714,356.61,195.02,583.14,434.19,286.01,1274.06,20267.95,3,Poor
715,340.75,168.45,310.82,386.73,163.9,1172.98,32624.67,3,Poor
716,437.42,286.5,469.12,508.85,142.11,1559.47,22658.48,3,Poor
717,355.61,195.33,368.41,264.71,176.14,1457.63,18341.32,3,Poor
718,508.7,352.69,483.87,494.64,315.91,1210.7,30542.26,3,Poor
719,348.38,184.17,273.94,459.74,295.53,1693.17,26911.46,3,Poor
720,405.6,283.26,579.16,458.96,164.35,1002.52,34394.61,3,Poor
721,274.39,250.58,313.94,449.95,215.29,1747.39,27423.33,3,Poor
722,472.48,190.0,469.37,439.96,311.67,1436.45,35721.48,3,Poor
723,373.64,168.79,385.12,360.59,257.76,1873.97,33455.11,3,Poor
724,453.07,260.91,671.02,486.33,304.89,1513.17,24357.75,3,Poor
725,348.77,240.42,683.42,430.65,234.41,1577.07,27759.53,3,Poor
726,437.71,253.97,374.11,364.82,237.04,1058.76,21841.79,3,Poor
727,408.46,218.68,489.73,429.49,230.38,1082.03,25333.75,3,Poor
728,306.65,137.54,375.6,361.67,187.43,1340.54,24262.28,3,Poor
729,518.99,267.74,509.92,524.45,217.79,973.16,30467.8,3,Poor
730,356.16,157.16,434.84,567.09,329.4,917.31,21075.75,3,Poor
731,397.9,242.04,362.29,491.1,226.8,1602.99,17201.68,3,Poor
732,353.91,178.32,404.49,522.08,233.51,1314.19,24320.1,3,Poor
733,287.54,149.86,484.7,499.61,284.48,1082.37,30461.8,3,Poor
734,615.54,288.4,688.8,430.81,151.35,1767.25,28036.07,3,Poor
735,429.46,234.6,450.85,604.91,168.89,1626.38,32102.51,3,Poor
736,497.73,304.72,704.09,542.79,256.28,1314.4,24561.29,3,Poor
737,666.64,302.31,559.91,491.6,259.09,1126.28,27155.5,3,Poor
738,523.75,296.0,642.82,626.21,321.07,1478.52,45811.93,3,Poor
739,424.8,217.54,446.4,395.21,161.98,1354.47,31335.55,3,Poor
740,526.99,253.31,509.6,420.41,395.26,1270.06,27093.94,3,Poor
741,389.13,192.89,362.68,376.55,263.41,1241.67,21916.19,3,Poor
742,526.5,275.99,542.73,697.63,273.62,1383.85,37759.74,3,Poor
743,248.56,269.24,583.82,633.5,173.22,1483.46,35959.92,3,Poor
744,414.0,252.77,572.51,684.84,180.64,866.84,32442.68,3,Poor
745,395.61,249.57,512.3,605.35,211.91,1446.15,35934.32,3,Poor
746,651.69,295.14,667.23,450.75,258.05,1378.73,19575.69,3,Poor
747,309.48,167.48,313.58,429.7,197.38,1543.79,25511.45,3,Poor
748,275.06,229.99,437.86,452.85,161.66,1350.5,21451.22,3,Poor
